player,attack angle,body direction,bat direction,hand speed,hinge angle,bat speed,velocity vector2,velocity vector,vertical bat angle,body rotation rate,bat rotation rate,x_knob,y_knob,z_knob,x_barrel,y_barrel,z_barrel
Player 1,-0.26116621,-1.6964079,4.118546,0.37067208,-0.8513184,0.5928591,"[-0.35690257, 0.4986145, -0.16388637]","[-0.18690825, 0.3200316, 0.00654684]",0.8358017,0.16403686,-0.8115327,0.6594685,-0.83586097,0.7398909,0.6378243,-0.47882733,1.1355853
Player 1,-0.26886457,-1.6960742,4.119833,0.3709616,-0.8529394,0.59309256,"[-0.35271636, 0.49924797, -0.1684284]","[-0.18865775, 0.3193901, 0.00327912]",0.8348426,0.1710081,-0.81323695,0.6590948,-0.83522105,0.73990035,0.6371227,-0.4778274,1.1352515
Player 1,-0.27683488,-1.6957246,4.1211147,0.3717433,-0.8545706,0.59501725,"[-0.35031018, 0.50036937, -0.17354932]","[-0.19098434, 0.3189326, -0.00023063]",0.8338756,0.17809534,-0.81462145,0.6587167,-0.83458215,0.7399029,0.63642603,-0.47682533,1.1349077
Player 1,-0.28529495,-1.69536,4.122386,0.37239927,-0.8562066,0.595819,"[-0.34559318, 0.50172234, -0.17868435]","[-0.19276474, 0.31860444, -0.00376673]",0.8329006,0.18485776,-0.8142393,0.658335,-0.83394396,0.7398985,0.63573885,-0.4758206,1.1345536
Player 1,-0.29399148,-1.6949832,4.123638,0.372671,-0.8578354,0.5942775,"[-0.33711913, 0.50298476, -0.18332735]","[-0.1935241, 0.31840324, -0.00717586]",0.83191985,0.19120099,-0.81215703,0.6579516,-0.83330643,0.73988724,0.6350684,-0.4748136,1.1341902
Player 1,-0.30239376,-1.6945953,4.124868,0.3728884,-0.8594533,0.59213287,"[-0.32785162, 0.50407743, -0.1875871]","[-0.19394696, 0.31830835, -0.01049323]",0.8309349,0.19749273,-0.81008106,0.65756714,-0.83266926,0.7398693,0.6344164,-0.47380462,1.1338183
Player 1,-0.31047377,-1.6941949,4.1260824,0.37346005,-0.8610679,0.59172,"[-0.3211919, 0.50525206, -0.19209348]","[-0.1948904, 0.3182708, -0.0139225]",0.829945,0.20406817,-0.80906373,0.6571807,-0.8320322,0.7398446,0.6337775,-0.47279337,1.1334374
Player 1,-0.31838974,-1.6937801,4.1272864,0.3742947,-0.8626872,0.5929379,"[-0.3172319, 0.5063146, -0.1969336]","[-0.19641265, 0.3181346, -0.017577]",0.82894963,0.21082984,-0.8081812,0.6567912,-0.8313954,0.7398128,0.6331465,-0.47177988,1.1330471
Player 1,-0.3260736,-1.6933507,4.128478,0.3748644,-0.86430794,0.5932424,"[-0.31290585, 0.50654143, -0.20132878]","[-0.19780125, 0.31771648, -0.02131238]",0.8279516,0.2174482,-0.8057441,0.6563988,-0.8307592,0.73977375,0.6325241,-0.47076577,1.1326482
Player 1,-0.33390793,-1.6929086,4.129647,0.37491727,-0.8659188,0.59119314,"[-0.30545932, 0.5060656, -0.20505342]","[-0.1984346, 0.31711406, -0.02500697]",0.82695454,0.22382776,-0.801152,0.65600514,-0.83012426,0.7397275,0.6319165,-0.46975267,1.132242
Player 1,-0.34236512,-1.6924554,4.1307883,0.37479642,-0.8675139,0.58824205,"[-0.29571864, 0.50575346, -0.20880187]","[-0.19855922, 0.31657487, -0.02875674]",0.8259586,0.23027714,-0.7953946,0.6556112,-0.8294904,0.7396738,0.6313285,-0.46874022,1.1318283
Player 1,-0.3506723,-1.6919894,4.131905,0.37489697,-0.8690964,0.58599424,"[-0.2872404, 0.5052948, -0.21260895]","[-0.19906823, 0.31599873, -0.03262466]",0.82496405,0.23723407,-0.78987765,0.65521646,-0.8288578,0.73961246,0.6307576,-0.4677287,1.1314073
Player 1,-0.3579191,-1.6915084,4.132999,0.3752251,-0.8706711,0.5841498,"[-0.2817394, 0.5036437, -0.21584876]","[-0.20043176, 0.3150898, -0.03659784]",0.82397455,0.24494474,-0.78513336,0.65481913,-0.8282268,0.73954356,0.63019776,-0.46672037,1.13098
